,id,time,mood,circumplex.arousal,circumplex.valence,activity,screen,call,sms,appCat.builtin,appCat.communication,appCat.entertainment,appCat.finance,appCat.game,appCat.office,appCat.other,appCat.social,appCat.travel,appCat.unknown,appCat.utilities,appCat.weather
7,AS14.01,2014-02-26,6.25,0.0,1.0,,0.0,1,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,AS14.01,2014-02-27,6.333333333333333,0.0,0.0,,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,AS14.01,2014-03-21,6.2,0.0,0.0,0.13405010398938863,17978.907000064843,6,0,3139.218000000001,6280.89,1007.4559999999999,49.544,0.0,172.206,239.75099999999998,4508.499999999999,915.4449999999999,3139.218000000001,598.754,0.0
27,AS14.01,2014-03-22,6.4,1.0,0.0,0.23688021923995817,6142.160999536513,3,1,731.4290000000003,4962.9180000000015,93.324,21.076,0.0,0.0,98.143,439.6319999999999,37.305,731.4290000000003,117.62100000000001,0.0
28,AS14.01,2014-03-23,6.8,0.0,1.0,0.14274111580506368,6773.832001447677,0,0,1286.2460000000003,5237.3189999999995,94.346,43.403,0.0,0.0,72.82300000000001,900.8389999999999,0.0,1286.2460000000003,30.086,30.386
29,AS14.01,2014-03-24,6.0,1.0,0.0,0.07896105611559796,15047.351000547404,10,0,866.9560000000001,9270.629000000006,976.9709999999999,34.106,0.0,3.01,66.558,3223.6260000000007,419.805,866.9560000000001,178.732,0.0
30,AS14.01,2014-03-25,6.75,0.0,0.0,0.09837411239050675,21475.35499906539,0,1,1032.7680000000003,10276.751000000002,68.206,43.054,0.0,0.0,178.819,1919.4709999999995,0.0,1032.7680000000003,222.89300000000003,0.0
31,AS14.01,2014-03-26,6.6,0.0,1.0,0.10130832167007592,16423.801000356674,0,0,1167.4970000000003,8988.752999999999,910.479,52.331,0.0,0.0,97.498,4592.058999999999,0.0,1167.4970000000003,33.365,0.0
32,AS14.01,2014-03-27,7.0,0.0,1.0,0.1595106409690975,17442.14999938011,2,1,1229.3269999999998,6936.5120000000015,639.339,42.218999999999994,0.0,182.451,58.532000000000004,935.381,47.314,1229.3269999999998,179.02900000000002,0.0
33,AS14.01,2014-03-28,6.4,-1.0,1.0,0.09569802163712014,4923.48899960518,5,0,10062.595000000001,866.833,1005.403,89.16600000000001,233.036,0.0,225.951,512.741,1133.009,10062.595000000001,301.717,0.0
